TS,O,H,L,C,VOL
1663645500.0,41304.1,41462.9,41207.3,41405.8,0.0
1663646400.0,41404.1,41455.75,41389.35,41422.5,0.0
1663647300.0,41422.7,41505.25,41422.7,41454.1,0.0
1663648200.0,41447.3,41566.95,41446.7,41538.6,0.0
1663649100.0,41539.0,41572.8,41504.05,41526.2,0.0
1663650000.0,41522.4,41561.6,41482.9,41488.1,0.0
1663650900.0,41487.1,41512.3,41443.7,41506.3,0.0
1663651800.0,41500.4,41531.95,41481.7,41495.7,0.0
1663652700.0,41493.5,41508.65,41452.9,41493.6,0.0
1663653600.0,41493.4,41523.55,41469.55,41507.8,0.0
1663654500.0,41507.0,41515.15,41454.6,41483.2,0.0
1663655400.0,41483.0,41551.1,41476.55,41538.9,0.0
1663656300.0,41538.0,41627.6,41515.45,41625.8,0.0
1663657200.0,41627.2,41677.65,41618.25,41649.5,0.0
1663658100.0,41647.5,41657.7,41613.2,41622.5,0.0
1663659000.0,41622.7,41658.1,41605.3,41654.1,0.0
1663659900.0,41654.8,41655.55,41578.6,41602.7,0.0
1663660800.0,41602.4,41609.6,41531.2,41565.9,0.0
1663661700.0,41564.1,41641.15,41535.3,41628.8,0.0
1663662600.0,41632.6,41650.7,41592.1,41599.6,0.0
1663663500.0,41604.4,41636.5,41565.9,41618.6,0.0
1663664400.0,41619.6,41641.9,41548.7,41564.2,0.0
1663665300.0,41564.9,41568.55,41481.8,41538.8,0.0
1663666200.0,41543.1,41547.2,41432.95,41444.5,0.0
1663667100.0,41441.6,41497.35,41399.25,41414.7,0.0
1663731900.0,41282.6,41501.7,41256.0,41423.6,0.0
1663732800.0,41422.4,41435.5,41283.6,41292.9,0.0
1663733700.0,41291.4,41293.4,41222.9,41240.1,0.0
1663734600.0,41241.6,41270.9,41161.95,41263.8,0.0
1663735500.0,41258.6,41354.45,41232.15,41343.2,0.0
1663736400.0,41348.6,41413.0,41299.8,41328.9,0.0
1663737300.0,41327.1,41372.5,41311.45,41339.7,0.0
1663738200.0,41340.8,41342.45,41293.55,41321.3,0.0
1663739100.0,41320.6,41356.6,41267.45,41270.6,0.0
1663740000.0,41270.2,41286.2,41212.4,41220.8,0.0
1663740900.0,41219.1,41242.45,41046.0,41047.2,0.0
1663741800.0,41046.9,41073.8,40951.45,40998.1,0.0
1663742700.0,40999.6,41015.9,40889.15,40939.9,0.0
1663743600.0,40940.7,41061.1,40905.55,41058.2,0.0
1663744500.0,41057.0,41156.85,41042.25,41133.7,0.0
1663745400.0,41137.2,41153.0,41046.55,41056.6,0.0
1663746300.0,41062.3,41110.9,41051.9,41082.9,0.0
1663747200.0,41082.4,41230.35,41068.25,41195.4,0.0
1663748100.0,41196.1,41313.4,41196.15,41221.0,0.0
1663749000.0,41220.4,41330.9,41200.4,41295.6,0.0
1663749900.0,41299.0,41319.6,41184.75,41226.6,0.0
1663750800.0,41230.6,41285.9,41187.1,41259.5,0.0
1663751700.0,41257.9,41278.55,41209.45,41235.9,0.0
1663752600.0,41234.1,41264.55,41165.75,41206.4,0.0
1663753500.0,41205.1,41231.15,41161.95,41197.6,0.0
1663818300.0,40889.1,41122.85,40795.25,41082.4,0.0
1663819200.0,41088.8,41159.2,40983.4,40997.8,0.0
1663820100.0,41001.1,41051.6,40936.8,41009.9,0.0
1663821000.0,41010.4,41013.8,40851.3,40881.8,0.0
1663821900.0,40885.9,40885.85,40760.6,40762.3,0.0
1663822800.0,40761.0,40769.2,40681.7,40717.8,0.0
1663823700.0,40714.9,40812.4,40714.95,40768.9,0.0
1663824600.0,40774.2,40856.45,40712.9,40754.8,0.0
1663825500.0,40757.1,40759.1,40606.4,40614.5,0.0
1663826400.0,40615.3,40696.35,40601.55,40619.9,0.0
1663827300.0,40621.4,40666.4,40606.55,40663.7,0.0
1663828200.0,40664.8,40664.75,40511.9,40537.6,0.0
