TS,O,H,L,C,VOL
1669347900.0,18528.4,18533.15,18451.95,18478.7,0.0
1669348800.0,18478.9,18499.75,18445.1,18454.9,0.0
1669349700.0,18455.8,18492.35,18450.1,18463.5,0.0
1669350600.0,18464.1,18478.85,18462.1,18477.1,0.0
1669351500.0,18477.4,18487.3,18460.25,18486.7,0.0
1669352400.0,18486.8,18495.2,18478.15,18495.2,0.0
1669353300.0,18495.4,18499.55,18474.5,18477.9,0.0
1669354200.0,18478.0,18480.6,18459.55,18461.5,0.0
1669355100.0,18460.2,18473.2,18458.85,18470.2,0.0
1669356000.0,18470.5,18484.65,18461.55,18463.1,0.0
1669356900.0,18461.9,18467.6,18451.2,18452.7,0.0
1669357800.0,18452.3,18465.15,18452.15,18463.1,0.0
1669358700.0,18462.6,18474.1,18461.05,18473.2,0.0
1669359600.0,18472.9,18483.0,18470.95,18476.9,0.0
1669360500.0,18476.5,18495.1,18469.2,18489.1,0.0
1669361400.0,18488.8,18494.8,18472.95,18484.8,0.0
1669362300.0,18483.4,18486.65,18475.75,18484.6,0.0
1669363200.0,18484.0,18496.4,18483.6,18485.5,0.0
1669364100.0,18485.5,18512.5,18484.3,18501.0,0.0
1669365000.0,18501.3,18510.85,18476.75,18486.9,0.0
1669365900.0,18486.8,18498.15,18467.9,18496.2,0.0
1669366800.0,18495.8,18511.4,18490.4,18502.5,0.0
1669367700.0,18502.4,18517.85,18485.8,18513.8,0.0
1669368600.0,18511.7,18534.9,18484.2,18524.7,0.0
1669369500.0,18525.7,18525.7,18494.5,18498.4,0.0
1669607100.0,18430.6,18522.75,18365.6,18520.3,0.0
1669608000.0,18519.6,18541.55,18517.95,18538.3,0.0
1669608900.0,18538.1,18549.55,18530.15,18531.2,0.0
1669609800.0,18530.8,18543.75,18530.75,18539.8,0.0
1669610700.0,18539.9,18558.95,18539.35,18551.9,0.0
1669611600.0,18551.1,18551.65,18535.05,18539.2,0.0
1669612500.0,18539.4,18562.1,18537.5,18553.6,0.0
1669613400.0,18553.6,18568.0,18553.55,18565.2,0.0
1669614300.0,18564.7,18568.15,18558.25,18561.4,0.0
1669615200.0,18560.5,18580.75,18559.5,18579.9,0.0
1669616100.0,18579.2,18586.65,18575.5,18586.5,0.0
1669617000.0,18586.3,18595.25,18583.7,18593.8,0.0
1669617900.0,18593.6,18604.35,18585.1,18597.4,0.0
1669618800.0,18597.4,18602.4,18579.0,18579.3,0.0
1669619700.0,18580.8,18603.4,18580.15,18601.5,0.0
1669620600.0,18600.9,18611.05,18599.1,18606.8,0.0
1669621500.0,18606.2,18608.4,18593.0,18596.4,0.0
1669622400.0,18597.2,18612.55,18594.1,18611.5,0.0
1669623300.0,18610.8,18614.25,18594.35,18606.3,0.0
1669624200.0,18606.3,18610.15,18573.7,18582.2,0.0
1669625100.0,18582.9,18600.05,18577.75,18590.8,0.0
1669626000.0,18591.1,18599.3,18584.45,18599.2,0.0
1669626900.0,18598.2,18608.5,18588.2,18595.8,0.0
1669627800.0,18595.6,18595.6,18555.25,18564.7,0.0
1669628700.0,18565.8,18568.9,18546.9,18553.4,0.0
1669693500.0,18552.45,18631.65,18552.15,18623.2,0.0
1669694400.0,18624.1,18631.25,18616.3,18621.7,0.0
1669695300.0,18621.85,18625.55,18607.5,18625.55,0.0
1669696200.0,18626.2,18633.8,18617.7,18630.5,0.0
1669697100.0,18629.55,18639.0,18627.95,18637.4,0.0
1669698000.0,18636.7,18643.25,18633.0,18637.0,0.0
1669698900.0,18636.85,18649.5,18636.75,18647.95,0.0
1669699800.0,18648.55,18662.6,18648.15,18657.6,0.0
1669700700.0,18657.25,18660.15,18643.4,18646.3,0.0
1669701600.0,18646.45,18654.25,18642.55,18653.7,0.0
1669702500.0,18653.85,18653.85,18635.35,18643.2,0.0
1669703400.0,18643.35,18669.15,18643.0,18666.95,0.0
1669704300.0,18667.5,18670.05,18656.5,18664.35,0.0
1669705200.0,18663.6,18672.95,18661.1,18668.05,0.0
1669706100.0,18667.25,18672.0,18658.9,18663.5,0.0
