TS,O,H,L,C,VOL
1663731000.0,90.9775,90.9775,90.865,90.9225,29740.0
1663734600.0,90.9225,90.975,90.89,90.9675,14760.0
1663738200.0,90.9675,91.0325,90.8475,90.975,53895.0
1663741800.0,90.975,90.98,90.495,90.8425,82915.0
1663745400.0,90.8425,90.86,90.6675,90.73,21394.0
1663749000.0,90.73,90.855,90.7025,90.8125,18394.0
1663752600.0,90.8125,90.8875,90.77,90.8625,15949.0
1663756200.0,90.8625,90.9,90.725,90.8,28376.0
1663817400.0,90.3,90.565,90.245,90.56,30067.0
1663821000.0,90.56,90.75,90.5575,90.725,32525.0
1663824600.0,90.725,90.8325,90.705,90.7175,42388.0
1663828200.0,90.725,90.895,90.645,90.8625,34156.0
1663831800.0,90.8625,91.49,90.8275,91.49,97515.0
1663835400.0,91.49,91.535,91.255,91.4475,46963.0
1663839000.0,91.4475,91.57,91.345,91.515,31813.0
1663842600.0,91.515,91.965,91.295,91.39,102993.0
