TS,O,H,L,C,VOL
1663731000.0,55.6325,55.65,55.605,55.6275,7289.0
1663734600.0,55.6275,55.635,55.57,55.6,5229.0
1663738200.0,55.6,55.775,55.5725,55.7625,9295.0
1663741800.0,55.7625,55.88,55.7525,55.84,11306.0
1663745400.0,55.84,55.84,55.7225,55.73,4519.0
1663749000.0,55.73,55.7975,55.71,55.7275,4005.0
1663752600.0,55.7275,55.7425,55.675,55.7275,4792.0
1663756200.0,55.7275,55.7475,55.5825,55.62,6117.0
1663817400.0,55.5225,55.8,55.51,55.7125,12351.0
1663821000.0,55.7125,55.77,55.6775,55.7575,9791.0
1663824600.0,55.75,55.7825,55.6625,55.685,12880.0
1663828200.0,55.685,55.7725,55.4875,55.525,27289.0
1663831800.0,55.525,56.96,55.44,56.5825,127150.0
1663835400.0,56.5425,57.3025,56.5,56.8925,86498.0
1663839000.0,56.895,56.9275,56.495,56.71,34886.0
1663842600.0,56.71,56.8975,56.71,56.76,24595.0
