TS,O,H,L,C,VOL
1671075900.0,582.9,584.2,581.35,583.85,82811.0
1671076200.0,583.4,586.2,583.25,586.15,80169.0
1671076500.0,586.05,587.25,584.95,585.2,118564.0
1671076800.0,585.45,585.8,584.2,584.45,51867.0
1671077100.0,584.45,584.45,583.3,583.8,54724.0
1671077400.0,583.75,583.75,582.3,582.3,33484.0
1671077700.0,582.65,583.0,581.8,582.5,37129.0
1671078000.0,582.65,584.0,582.65,583.75,43898.0
1671078300.0,583.8,585.1,583.8,585.0,31217.0
1671078600.0,585.05,585.05,584.0,584.0,33186.0
1671078900.0,584.1,584.35,583.65,583.95,22979.0
1671079200.0,583.95,583.95,583.1,583.6,23110.0
1671079500.0,583.6,584.5,583.25,583.75,24879.0
1671079800.0,583.85,584.2,583.1,583.35,11878.0
1671080100.0,583.35,583.5,582.2,582.3,17054.0
1671080400.0,582.55,582.7,581.75,582.2,13434.0
1671080700.0,581.85,582.9,581.85,582.55,16037.0
1671081000.0,582.55,582.85,582.5,582.75,8185.0
1671081300.0,582.8,583.45,582.8,583.3,7926.0
1671081600.0,583.3,583.7,583.1,583.45,11183.0
1671081900.0,583.45,583.55,583.3,583.45,1894.0
