TS,O,H,L,C,VOL
1663731900.0,1379.9,1379.9,1368.4,1372.25,562025.0
1663732200.0,1372.25,1376.35,1372.15,1375.35,365112.0
1663732500.0,1375.35,1381.6,1375.35,1378.85,270119.0
1663732800.0,1378.85,1382.0,1378.5,1381.6,299879.0
1663733100.0,1381.55,1381.6,1377.85,1379.0,246927.0
1663733400.0,1379.0,1380.0,1377.0,1378.1,90372.0
1663733700.0,1378.0,1378.1,1373.05,1374.75,148604.0
1663734000.0,1374.75,1375.95,1373.25,1374.1,82873.0
1663734300.0,1374.05,1375.45,1374.0,1374.05,62534.0
1663734600.0,1374.05,1374.2,1371.35,1373.85,98767.0
1663734900.0,1373.85,1378.25,1373.7,1378.25,112941.0
1663735200.0,1378.25,1381.8,1378.15,1379.95,144212.0
1663735500.0,1379.95,1381.0,1377.75,1378.8,99316.0
1663735800.0,1378.8,1378.9,1376.55,1378.0,56736.0
1663736100.0,1377.95,1378.9,1376.3,1377.45,57627.0
1663736400.0,1377.45,1378.35,1376.15,1376.95,51260.0
1663736700.0,1377.25,1380.4,1377.0,1380.25,98270.0
1663737000.0,1380.25,1381.5,1379.0,1379.15,77177.0
1663737300.0,1379.15,1380.9,1378.25,1380.05,75643.0
1663737600.0,1380.0,1380.85,1379.15,1380.05,67769.0
1663737900.0,1380.05,1380.65,1379.65,1380.05,80439.0
1663738200.0,1380.05,1380.05,1377.7,1378.6,70845.0
1663738500.0,1378.6,1381.0,1378.55,1380.9,65350.0
1663738800.0,1380.9,1380.9,1378.45,1378.55,62952.0
1663739100.0,1378.55,1379.4,1378.0,1378.3,38454.0
1663739400.0,1378.3,1379.1,1378.0,1378.15,39491.0
1663739700.0,1378.05,1378.4,1376.05,1377.1,54531.0
1663740000.0,1377.1,1377.5,1375.6,1377.25,59411.0
1663740300.0,1377.35,1378.4,1377.05,1378.1,46220.0
1663740600.0,1378.1,1379.0,1376.3,1376.75,59220.0
1663740900.0,1376.75,1379.05,1376.35,1378.4,50157.0
1663741200.0,1378.3,1378.95,1376.75,1377.15,57634.0
1663741500.0,1377.15,1379.45,1377.1,1378.55,40676.0
1663741800.0,1378.6,1378.6,1374.3,1374.5,151739.0
1663742100.0,1374.55,1374.55,1372.75,1373.15,105933.0
1663742400.0,1373.15,1375.0,1373.15,1374.9,51402.0
1663742700.0,1375.05,1378.85,1375.05,1378.0,49766.0
1663743000.0,1378.05,1378.05,1376.35,1376.35,35067.0
1663743300.0,1376.65,1377.9,1376.3,1377.7,41574.0
1663743600.0,1377.75,1378.3,1376.65,1377.3,53503.0
1663743900.0,1377.4,1379.7,1377.0,1379.3,60868.0
1663744200.0,1379.3,1381.0,1378.4,1380.6,62851.0
1663744500.0,1380.65,1386.0,1380.2,1384.9,164938.0
1663744800.0,1384.8,1385.15,1382.7,1383.45,73236.0
1663745100.0,1383.45,1385.75,1383.2,1384.5,76397.0
1663745400.0,1385.1,1385.35,1382.25,1382.3,69265.0
1663745700.0,1382.4,1383.95,1381.15,1381.3,51789.0
1663746000.0,1381.3,1382.6,1380.0,1381.4,50983.0
1663746300.0,1381.35,1384.45,1381.3,1383.15,53271.0
1663746600.0,1383.15,1384.7,1383.0,1383.05,44415.0
1663746900.0,1383.05,1384.75,1382.3,1383.85,71087.0
1663747200.0,1384.0,1384.45,1382.3,1384.15,50202.0
1663747500.0,1384.15,1387.2,1383.45,1387.2,84960.0
1663747800.0,1387.05,1388.8,1385.0,1385.55,92985.0
1663748100.0,1385.55,1386.65,1385.25,1385.8,51834.0
1663748400.0,1385.85,1386.5,1384.0,1384.3,65024.0
1663748700.0,1384.25,1384.25,1382.0,1382.8,59226.0
1663749000.0,1383.0,1384.4,1382.0,1383.9,57529.0
1663749300.0,1383.9,1385.3,1383.15,1384.7,63617.0
1663749600.0,1384.8,1386.85,1384.1,1386.3,70226.0
1663749900.0,1386.0,1386.2,1383.7,1384.65,54134.0
1663750200.0,1384.6,1384.8,1383.2,1384.55,50422.0
1663750500.0,1384.6,1385.75,1384.0,1385.15,76960.0
1663750800.0,1385.15,1387.0,1384.9,1385.1,51814.0
1663751100.0,1385.0,1385.15,1381.3,1381.3,84413.0
1663751400.0,1381.5,1383.4,1380.65,1381.95,100266.0
1663751700.0,1381.45,1382.0,1376.3,1377.55,151013.0
1663752000.0,1377.55,1379.1,1377.0,1378.3,94505.0
1663752300.0,1378.3,1379.65,1377.05,1379.35,124027.0
1663752600.0,1378.6,1380.15,1376.5,1377.4,258459.0
1663752900.0,1377.4,1377.8,1376.2,1376.9,201231.0
1663753200.0,1376.55,1377.15,1375.45,1376.35,250258.0
1663753500.0,1376.3,1377.5,1375.1,1376.8,305061.0
1663753800.0,1376.8,1377.25,1376.35,1377.0,198225.0
1663754100.0,1377.05,1381.5,1377.0,1381.0,203259.0
1663818300.0,1366.35,1370.0,1360.0,1363.05,459825.0
1663818600.0,1363.0,1369.75,1360.15,1365.35,270084.0
1663818900.0,1365.35,1367.0,1363.35,1366.0,120126.0
1663819200.0,1366.0,1371.55,1365.55,1371.05,164503.0
1663819500.0,1371.4,1372.55,1369.45,1371.45,145705.0
1663819800.0,1371.5,1372.5,1369.5,1371.45,124140.0
1663820100.0,1371.35,1374.3,1369.25,1373.0,130887.0
1663820400.0,1373.15,1376.5,1372.45,1375.95,120708.0
1663820700.0,1375.95,1383.95,1375.35,1382.0,210990.0
1663821000.0,1382.1,1382.1,1375.55,1375.85,217848.0
1663821300.0,1375.8,1377.25,1374.0,1375.85,73609.0
1663821600.0,1375.9,1379.0,1375.55,1377.9,75854.0
1663821900.0,1377.9,1378.8,1374.0,1374.1,74281.0
1663822200.0,1374.95,1375.25,1372.55,1374.6,70033.0
1663822500.0,1374.6,1375.25,1373.55,1373.7,102756.0
1663822800.0,1374.1,1374.65,1371.15,1374.05,61994.0
1663823100.0,1374.05,1377.0,1371.3,1376.7,77276.0
1663823400.0,1376.65,1377.9,1375.2,1375.85,97965.0
1663823700.0,1375.85,1380.8,1375.8,1380.8,79732.0
1663824000.0,1380.8,1381.7,1376.5,1377.25,270106.0
1663824300.0,1377.3,1377.75,1374.65,1377.5,80675.0
