TS,O,H,L,C,VOL
1671075900.0,72.65,72.95,72.35,72.6,519992.0
1671076200.0,72.55,72.65,72.45,72.6,194912.0
1671076500.0,72.55,72.65,72.4,72.45,90515.0
1671076800.0,72.4,72.4,72.3,72.35,107064.0
1671077100.0,72.3,72.55,72.25,72.45,164208.0
1671077400.0,72.45,72.5,72.35,72.5,72694.0
1671077700.0,72.5,72.55,72.45,72.5,78292.0
1671078000.0,72.5,72.5,72.4,72.5,54686.0
1671078300.0,72.45,72.5,72.45,72.5,34181.0
1671078600.0,72.5,72.5,72.45,72.45,31651.0
1671078900.0,72.45,72.5,72.45,72.5,41853.0
1671079200.0,72.5,72.5,72.25,72.25,150299.0
1671079500.0,72.25,72.35,72.25,72.3,67676.0
1671079800.0,72.3,72.4,72.3,72.35,50172.0
1671080100.0,72.35,72.4,72.3,72.35,65530.0
1671080400.0,72.3,72.4,72.3,72.35,36943.0
1671080700.0,72.35,72.4,72.3,72.35,24562.0
1671081000.0,72.35,72.35,72.25,72.25,51408.0
1671081300.0,72.25,72.35,72.25,72.35,31197.0
1671081600.0,72.35,72.35,72.3,72.3,19257.0
1671081900.0,72.3,72.35,72.3,72.3,7602.0
