TS,O,H,L,C,VOL
1671075900.0,1274.95,1289.55,1272.55,1284.0,86679.0
1671076200.0,1284.15,1287.9,1281.0,1287.9,46793.0
1671076500.0,1287.9,1293.0,1286.5,1291.05,69801.0
1671076800.0,1291.2,1295.0,1290.9,1294.0,75720.0
1671077100.0,1294.0,1294.75,1288.0,1288.7,52838.0
1671077400.0,1288.2,1289.0,1284.3,1286.0,44645.0
1671077700.0,1286.0,1286.0,1283.1,1284.55,25411.0
1671078000.0,1284.55,1288.4,1284.55,1285.1,18873.0
1671078300.0,1285.1,1288.0,1285.05,1286.55,13207.0
1671078600.0,1286.55,1287.2,1285.3,1285.4,10103.0
1671078900.0,1285.3,1285.55,1283.5,1284.65,13879.0
1671079200.0,1284.3,1284.35,1283.55,1284.3,10586.0
1671079500.0,1283.7,1289.2,1283.55,1289.2,13850.0
1671079800.0,1288.5,1289.9,1283.95,1285.2,43880.0
1671080100.0,1285.75,1286.95,1284.15,1285.75,17448.0
1671080400.0,1285.75,1287.0,1283.85,1286.65,14326.0
1671080700.0,1286.75,1287.8,1285.9,1287.55,8972.0
1671081000.0,1288.5,1289.05,1287.3,1287.65,7676.0
1671081300.0,1287.65,1290.0,1287.45,1289.45,21183.0
1671081600.0,1289.8,1290.0,1287.65,1288.65,14773.0
1671081900.0,1288.65,1289.9,1288.25,1289.35,4893.0
