TS,O,H,L,C,VOL
1663731900.0,575.0,577.3,572.2,574.05,590080.0
1663732200.0,574.05,575.6,573.55,574.95,208527.0
1663732500.0,574.95,576.25,574.5,575.9,174202.0
1663732800.0,576.0,576.05,574.75,575.6,117264.0
1663733100.0,575.6,575.65,574.25,574.6,101427.0
1663733400.0,574.6,574.75,573.65,574.0,125230.0
1663733700.0,573.9,573.95,572.5,572.6,192656.0
1663734000.0,572.45,572.5,571.05,571.5,226338.0
1663734300.0,571.5,572.0,571.15,571.25,81849.0
1663734600.0,571.25,571.5,570.2,571.0,136191.0
1663734900.0,571.0,571.5,570.5,571.1,91305.0
1663735200.0,571.25,571.9,571.0,571.1,67553.0
1663735500.0,571.1,571.35,570.75,571.05,86324.0
1663735800.0,571.0,571.45,570.6,571.4,71948.0
1663736100.0,571.2,571.95,571.2,571.7,77289.0
1663736400.0,571.95,573.4,571.75,573.3,148569.0
1663736700.0,573.45,573.45,572.3,572.4,94574.0
1663737000.0,572.35,572.45,571.7,571.75,57181.0
1663737300.0,571.8,572.25,571.5,571.9,54532.0
1663737600.0,572.0,572.6,571.8,572.25,46967.0
1663737900.0,572.2,572.35,571.65,571.85,53168.0
1663738200.0,571.95,571.95,570.85,571.2,94654.0
1663738500.0,571.1,571.4,570.8,571.1,64301.0
1663738800.0,571.15,571.85,570.55,571.8,86596.0
1663739100.0,571.8,572.25,571.7,572.05,60633.0
1663739400.0,572.05,572.3,571.0,571.0,104996.0
1663739700.0,571.05,571.2,569.3,569.5,218110.0
1663740000.0,569.5,569.55,568.5,568.8,170034.0
1663740300.0,569.0,569.75,568.8,569.4,89430.0
1663740600.0,569.4,569.8,568.3,568.5,74338.0
1663740900.0,568.75,568.9,568.35,568.8,60352.0
1663741200.0,568.5,569.0,566.1,566.4,328473.0
1663741500.0,566.6,567.3,565.6,566.55,354880.0
1663741800.0,566.55,567.1,565.85,566.75,124984.0
1663742100.0,566.7,567.25,565.8,565.9,79944.0
1663742400.0,565.9,567.15,565.8,567.1,78918.0
1663742700.0,567.1,567.2,566.2,566.75,60926.0
1663743000.0,566.95,566.95,566.0,566.2,65812.0
1663743300.0,566.25,566.5,565.4,566.1,94662.0
1663743600.0,566.1,566.5,565.6,566.1,71785.0
1663743900.0,566.1,567.0,565.95,567.0,87453.0
1663744200.0,567.0,568.4,566.6,568.4,123738.0
1663744500.0,568.25,569.0,568.05,568.7,136430.0
1663744800.0,568.75,568.95,568.0,568.55,85826.0
1663745100.0,568.4,569.0,568.4,568.7,72768.0
1663745400.0,568.4,568.75,567.5,567.8,68519.0
1663745700.0,567.8,568.05,567.25,567.25,51378.0
1663746000.0,567.25,567.6,566.9,567.05,60170.0
1663746300.0,567.05,568.1,567.0,567.15,93720.0
1663746600.0,567.45,567.7,567.1,567.15,72548.0
1663746900.0,567.35,567.95,567.1,567.8,67262.0
1663747200.0,567.9,568.65,567.4,568.55,63481.0
1663747500.0,568.65,569.75,568.3,569.65,90362.0
1663747800.0,569.8,570.4,569.45,569.8,152314.0
1663748100.0,569.9,571.7,569.8,571.5,209453.0
1663748400.0,571.4,571.55,570.8,571.15,59250.0
1663748700.0,571.2,571.45,570.6,570.85,48283.0
1663749000.0,570.9,571.9,570.5,571.9,73879.0
1663749300.0,571.9,572.5,571.6,572.5,119240.0
1663749600.0,572.7,573.25,572.25,572.55,127994.0
1663749900.0,572.6,572.7,571.75,572.1,64662.0
1663750200.0,572.25,572.25,571.1,571.25,74232.0
