
1670955446063 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1670955447772 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': 110.8, 'chp': 0.6, 'lp': 18608.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 18524.4, 'high_price': 18617.2, 'low_price': 18490.2, 'prev_close_price': 18497.2, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1670889600}}]}

1670955447773 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1670955449085 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 237.8, 'chp': 0.54, 'lp': 43946.6, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 43793.7, 'high_price': 43983.8, 'low_price': 43767.8, 'prev_close_price': 43708.8, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1670889600}}]}

1670955449086 :: quotes :: {'symbols': 'NSE:INFY-EQ'} :: 1670955450081 :: {'s': 'ok', 'd': [{'n': 'NSE:INFY-EQ', 's': 'ok', 'v': {'ch': -22.1, 'chp': -1.41, 'lp': 1547.2, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1550.0, 'high_price': 1565.95, 'low_price': 1530.05, 'prev_close_price': 1569.3, 'volume': 8037679, 'short_name': 'INFY-EQ', 'exchange': 'NSE', 'description': 'NSE:INFY-EQ', 'original_name': 'NSE:INFY-EQ', 'symbol': 'NSE:INFY-EQ', 'fyToken': '10100000001594', 'tt': 1670889600}}]}

1670955450092 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1670955451109 :: {'s': 'ok', 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ch': -3.45, 'chp': -0.56, 'lp': 613.05, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 614.8, 'high_price': 618.7, 'low_price': 611.0, 'prev_close_price': 616.5, 'volume': 9285187, 'short_name': 'SBIN-EQ', 'exchange': 'NSE', 'description': 'NSE:SBIN-EQ', 'original_name': 'NSE:SBIN-EQ', 'symbol': 'NSE:SBIN-EQ', 'fyToken': '10100000003045', 'tt': 1670889600}}]}

1670955461120 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1670955462499 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': 110.8, 'chp': 0.6, 'lp': 18608.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 18524.4, 'high_price': 18617.2, 'low_price': 18490.2, 'prev_close_price': 18497.2, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1670889600}}]}

1670955462499 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1670955463843 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 237.8, 'chp': 0.54, 'lp': 43946.6, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 43793.7, 'high_price': 43983.8, 'low_price': 43767.8, 'prev_close_price': 43708.8, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1670889600}}]}
