
1671075901000 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671075902285 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -47.8, 'chp': -0.26, 'lp': 18612.5, 'spread': 0.0, 'ask': 18612.5, 'bid': 18612.5, 'open_price': 18614.4, 'high_price': 18621.2, 'low_price': 18612.2, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 18614.4, 'h': 18621.2, 'l': 18612.2, 'c': 18612.5, 'v': 0, 'tf': '9:15'}}}]}

1671075902286 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671075903201 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': -82.6, 'chp': -0.19, 'lp': 43966.5, 'spread': 0.0, 'ask': 43966.5, 'bid': 43966.5, 'open_price': 43940.1, 'high_price': 43974.35, 'low_price': 43931.0, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 43940.1, 'h': 43974.35, 'l': 43931.0, 'c': 43966.5, 'v': 0, 'tf': '9:15'}}}]}

1671075903202 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671075904180 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.35, 'chp': 0.48, 'lp': 72.6, 'spread': 0.2, 'ask': 72.6, 'bid': 72.4, 'open_price': 72.65, 'high_price': 72.65, 'low_price': 72.45, 'prev_close_price': 72.25, 'volume': 24596, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 72.6, 'h': 72.6, 'l': 72.45, 'c': 72.6, 'v': 1072, 'tf': '9:15'}}}]}

1671075904195 :: quotes :: {'symbols': 'NSE:INTELLECT-EQ'} :: 1671075905105 :: {'s': 'ok', 'd': [{'n': 'NSE:INTELLECT-EQ', 's': 'ok', 'v': {'ch': 2.2, 'chp': 0.5, 'lp': 441.15, 'spread': 0.95, 'ask': 441.05, 'bid': 440.1, 'open_price': 441.15, 'high_price': 441.15, 'low_price': 441.1, 'prev_close_price': 438.95, 'volume': 3055, 'short_name': 'INTELLECT-EQ', 'exchange': 'NSE', 'description': 'NSE:INTELLECT-EQ', 'original_name': 'NSE:INTELLECT-EQ', 'symbol': 'NSE:INTELLECT-EQ', 'fyToken': '10100000005926', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 441.15, 'h': 441.15, 'l': 441.1, 'c': 441.15, 'v': 23, 'tf': '9:15'}}}]}

1671075905110 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671075906123 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': 5.95, 'chp': 0.48, 'lp': 1249.65, 'spread': 2.75, 'ask': 1249.65, 'bid': 1246.9, 'open_price': 1249.9, 'high_price': 1249.9, 'low_price': 1243.75, 'prev_close_price': 1243.7, 'volume': 7994, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 1249.1, 'h': 1249.65, 'l': 1243.75, 'c': 1249.65, 'v': 3626, 'tf': '9:15'}}}]}

1671075916133 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671075917192 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -37.05, 'chp': -0.2, 'lp': 18623.25, 'spread': 0.0, 'ask': 18623.25, 'bid': 18623.25, 'open_price': 18614.4, 'high_price': 18627.8, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 18614.4, 'h': 18627.8, 'l': 18608.35, 'c': 18623.25, 'v': 0, 'tf': '9:15'}}}]}
